"BOX","MONTH","DEPTH_BIN","min_val","max_val","n","sd","min_depth","max_depth","variable"
1,"02",1,0.021,1.019,14,0.323511171402129,0,10,"Ammonia"
1,"02",2,0,0.44,9,0.188225337767735,10,30,"Ammonia"
1,"02",3,0,0.524,12,0.192084794249358,30,100,"Ammonia"
1,"02",4,0,0.554,11,0.199803448873682,100,5000,"Ammonia"
1,"03",1,0.036,0.765,54,0.225205011810382,0,10,"Ammonia"
1,"03",2,0.03,0.819,54,0.158294310539345,10,30,"Ammonia"
1,"03",3,0,0.807,78,0.221823019277648,30,100,"Ammonia"
1,"03",4,0,0.705,130,0.163711749823925,100,5000,"Ammonia"
1,"04",1,0,5.289,106,0.628399171671774,0,10,"Ammonia"
1,"04",2,0,2.961,167,0.495862147184248,10,30,"Ammonia"
1,"04",3,0,3.299,411,0.506720143633699,30,100,"Ammonia"
1,"04",4,0,1.464,401,0.304843539332177,100,5000,"Ammonia"
1,"05",1,0,0.6285,27,0.190391765096404,0,10,"Ammonia"
1,"05",2,0,1.208,30,0.28622655252058,10,30,"Ammonia"
1,"05",3,0,1.726,79,0.485810768266928,30,100,"Ammonia"
1,"05",4,0,2.33,116,0.281393194232057,100,5000,"Ammonia"
1,"06",1,0.031,0.241,6,0.0893054682909544,0,10,"Ammonia"
1,"06",2,0.03,0.284,11,0.093401771445144,10,30,"Ammonia"
1,"06",3,0.021,0.589,29,0.176266940980884,30,100,"Ammonia"
1,"06",4,0.024,0.375,18,0.0976686408152218,100,5000,"Ammonia"
1,"07",1,0,0.91337,58,0.265977185817806,0,10,"Ammonia"
1,"07",2,0.011,7.19,49,1.41349739822365,10,30,"Ammonia"
1,"07",3,0,8.22,54,1.57643442309153,30,100,"Ammonia"
1,"07",4,0,5.668,69,0.95246781112296,100,5000,"Ammonia"
1,"08",1,0.022,0.789,28,0.217531616019957,0,10,"Ammonia"
1,"08",2,0.064,1.688,24,0.339440236143336,10,30,"Ammonia"
1,"08",3,0.022,1.58,30,0.346585361265703,30,100,"Ammonia"
1,"08",4,0.064,0.733,34,0.203725027449425,100,5000,"Ammonia"
1,"09",1,0,4.207,50,0.621229835545129,0,10,"Ammonia"
1,"09",2,0,8.107,100,0.827376693733473,10,30,"Ammonia"
1,"09",3,0,1.043,223,0.241361154463625,30,100,"Ammonia"
1,"09",4,0,0.921,243,0.23569025888047,100,5000,"Ammonia"
1,"10",1,0,1.01,86,0.21040201081727,0,10,"Ammonia"
1,"10",2,0,0.8315,154,0.191539822760167,10,30,"Ammonia"
1,"10",3,0,1.151,374,0.194993581863059,30,100,"Ammonia"
1,"10",4,0,1.856,383,0.209952401970514,100,5000,"Ammonia"
1,"11",1,0.263,0.448,6,0.0621409687726221,0,10,"Ammonia"
1,"11",2,0.232,0.515,8,0.0898979580254349,10,30,"Ammonia"
1,"11",3,0.177,0.557,18,0.10781956605148,30,100,"Ammonia"
1,"11",4,0.206,0.511,20,0.0803194116931694,100,5000,"Ammonia"
1,"12",1,0.2115,0.395,9,0.055525894859966,0,10,"Ammonia"
1,"12",2,0.1795,0.418,9,0.0683561445665274,10,30,"Ammonia"
1,"12",3,0.139,0.529,21,0.0962328339670683,30,100,"Ammonia"
1,"12",4,0.139,0.442,25,0.0842778539514781,100,5000,"Ammonia"
2,"02",1,0,1.494,171,0.300783335867995,0,10,"Ammonia"
2,"02",2,0.018,0.948,43,0.234716272725541,10,30,"Ammonia"
2,"02",3,0,1.684,195,0.310186668108358,30,100,"Ammonia"
2,"02",4,0.026,0.716,14,0.215160111606156,100,5000,"Ammonia"
2,"03",1,0.02,2.808,397,0.326281548679942,0,10,"Ammonia"
2,"03",2,0.017,1.764,244,0.253475702440531,10,30,"Ammonia"
2,"03",3,0,1.699,507,0.271378775506547,30,100,"Ammonia"
2,"03",4,0,0.825,51,0.221918746833336,100,5000,"Ammonia"
2,"04",1,0,1.794,85,0.388722349931329,0,10,"Ammonia"
2,"04",2,0.037,2.442,111,0.425527370637123,10,30,"Ammonia"
2,"04",3,0.014,2.832,264,0.541367620798503,30,100,"Ammonia"
2,"04",4,0.093,0.095,2,0.0014142135623731,100,5000,"Ammonia"
2,"07",1,0,1.646,106,0.389406259008939,0,10,"Ammonia"
2,"07",2,0,4.15949,97,0.645242710702502,10,30,"Ammonia"
2,"07",3,0,8.185,192,0.930780531510928,30,100,"Ammonia"
2,"07",4,0.016,1.169,18,0.302790550788922,100,5000,"Ammonia"
2,"08",1,0.028,0.061,18,0.0141171568542345,0,10,"Ammonia"
2,"08",2,0.022,0.222,20,0.0445367677791117,10,30,"Ammonia"
2,"08",3,0.028,0.333,33,0.0634788499733525,30,100,"Ammonia"
2,"08",4,0.061,0.061,4,0,100,5000,"Ammonia"
2,"09",1,0,0.94,18,0.244759966449725,0,10,"Ammonia"
2,"09",2,0,0.446,30,0.157090211288796,10,30,"Ammonia"
2,"09",3,0,0.673,86,0.158966964364405,30,100,"Ammonia"
2,"10",1,0.031,1.2305,25,0.311507523986179,0,10,"Ammonia"
2,"10",2,0.027,0.9175,49,0.218344487596105,10,30,"Ammonia"
2,"10",3,0.01,0.7555,137,0.192126306452181,30,100,"Ammonia"
2,"12",1,0.117,0.43,7,0.11079625230038,0,10,"Ammonia"
2,"12",2,0.06,0.423,6,0.125656144563912,10,30,"Ammonia"
2,"12",3,0.132,0.4,20,0.0703670639163702,30,100,"Ammonia"
3,"02",1,0.035,1.631,22,0.35864781227097,0,10,"Ammonia"
3,"02",2,0.024,0.656,11,0.221301316596338,10,30,"Ammonia"
3,"02",3,0,0.777,19,0.24536423575398,30,100,"Ammonia"
3,"02",4,0,0.653,23,0.195353252546848,100,5000,"Ammonia"
3,"03",1,0.019,1.675,232,0.291899078589937,0,10,"Ammonia"
3,"03",2,0.018,2.144,259,0.276210809476633,10,30,"Ammonia"
3,"03",3,0.011,1.242,402,0.29513504945517,30,100,"Ammonia"
3,"03",4,0,2.913,382,0.291824403655016,100,5000,"Ammonia"
3,"04",1,0,2.315,217,0.463232329489458,0,10,"Ammonia"
3,"04",2,0,2.38,351,0.420459846210232,10,30,"Ammonia"
3,"04",3,0,2.788,807,0.506956453575417,30,100,"Ammonia"
3,"04",4,0,3.717,628,0.466916734118841,100,5000,"Ammonia"
3,"06",1,0.03,1.103,8,0.409516941041515,0,10,"Ammonia"
3,"06",2,0.032,0.48,16,0.137729142401551,10,30,"Ammonia"
3,"06",3,0.031,0.368,32,0.103023089918967,30,100,"Ammonia"
3,"06",4,0.024,0.195,20,0.0420876278857889,100,5000,"Ammonia"
3,"07",1,0,6.67,255,0.564489479083445,0,10,"Ammonia"
3,"07",2,0,5.67203,248,0.593761872644953,10,30,"Ammonia"
3,"07",3,0,6.752,295,0.86243052093249,30,100,"Ammonia"
3,"07",4,0,8.347,345,0.760488655534655,100,5000,"Ammonia"
3,"08",1,0.022,0.397,22,0.124032053181628,0,10,"Ammonia"
3,"08",2,0.022,0.446,20,0.156554043132244,10,30,"Ammonia"
3,"08",3,0.022,1.214,23,0.263406394861163,30,100,"Ammonia"
3,"08",4,0.022,0.416,36,0.118990462469604,100,5000,"Ammonia"
3,"09",1,0,0.958,171,0.126967641717658,0,10,"Ammonia"
3,"09",2,0,0.645,301,0.104334062352613,10,30,"Ammonia"
3,"09",3,0,1.645,728,0.133508811612716,30,100,"Ammonia"
3,"09",4,0,0.936,459,0.14663929486391,100,5000,"Ammonia"
3,"10",1,0,1.385,182,0.234765667840664,0,10,"Ammonia"
3,"10",2,0,1.411,282,0.235116706423499,10,30,"Ammonia"
3,"10",3,0,20.54,702,0.80122019133308,30,100,"Ammonia"
3,"10",4,0,1.587,489,0.203899620746191,100,5000,"Ammonia"
3,"12",1,0.091,0.799,48,0.137923326423166,0,10,"Ammonia"
3,"12",2,0.111,0.981,54,0.154444643153274,10,30,"Ammonia"
3,"12",3,0.024,0.716,137,0.135969882440457,30,100,"Ammonia"
3,"12",4,0.062,0.472,91,0.0954675136046087,100,5000,"Ammonia"
4,"02",1,1.25,1.25,1,NA,0,10,"Ammonia"
4,"02",2,0.589,0.851,4,0.117859733016271,10,30,"Ammonia"
4,"02",3,0.554,0.751,4,0.0970377933247316,30,100,"Ammonia"
4,"03",1,0,1.084,441,0.276045119646785,0,10,"Ammonia"
4,"03",2,0,2.295,445,0.305737567148009,10,30,"Ammonia"
4,"03",3,0,2.503,686,0.326121972230693,30,100,"Ammonia"
4,"03",4,0,1.257,221,0.269208408285722,100,5000,"Ammonia"
4,"04",1,0,2.478,146,0.349644410228673,0,10,"Ammonia"
4,"04",2,0,1.799,212,0.344822335631434,10,30,"Ammonia"
4,"04",3,0,2.494,526,0.386562123237929,30,100,"Ammonia"
4,"04",4,0,2.494,90,0.459866014927602,100,5000,"Ammonia"
4,"06",1,0.04,0.641,20,0.168509378155389,0,10,"Ammonia"
4,"06",2,0.038,1.027,28,0.211380130390275,10,30,"Ammonia"
4,"06",3,0.015,0.828,58,0.225403755502333,30,100,"Ammonia"
4,"06",4,0.029,0.126,16,0.0230903118211946,100,5000,"Ammonia"
4,"07",1,0,8.14,780,0.730707542263331,0,10,"Ammonia"
4,"07",2,0,10.42,739,0.772829982566792,10,30,"Ammonia"
4,"07",3,0,11.28,1110,0.722846611523206,30,100,"Ammonia"
4,"07",4,0,7.192,380,0.583069430537288,100,5000,"Ammonia"
4,"08",1,0.022,1.784,68,0.312885147732585,0,10,"Ammonia"
4,"08",2,0.022,1.019,62,0.247736253814933,10,30,"Ammonia"
4,"08",3,0.022,1.223,90,0.259258572405606,30,100,"Ammonia"
4,"08",4,0.056,0.766,33,0.221617636694238,100,5000,"Ammonia"
4,"09",1,0,1.346,78,0.313752947271276,0,10,"Ammonia"
4,"09",2,0,1.231,139,0.287804279149309,10,30,"Ammonia"
4,"09",3,0,1.41,337,0.266640774683115,30,100,"Ammonia"
4,"09",4,0,0.713,49,0.229038332650081,100,5000,"Ammonia"
4,"10",1,0,0.912,93,0.205911827185898,0,10,"Ammonia"
4,"10",2,0.01,1.162,162,0.21974767757785,10,30,"Ammonia"
4,"10",3,0,1.3725,413,0.258851779998592,30,100,"Ammonia"
4,"10",4,0,0.71,79,0.176552617541604,100,5000,"Ammonia"
4,"12",1,0.15,0.336,10,0.0560392719438788,0,10,"Ammonia"
4,"12",2,0.066,0.641,24,0.130346687944002,10,30,"Ammonia"
4,"12",3,0.082,0.619,46,0.114749742403382,30,100,"Ammonia"
4,"12",4,0.356,0.358,2,0.0014142135623731,100,5000,"Ammonia"
5,"01",1,0.048,1.154,31,0.267210508614423,0,10,"Ammonia"
5,"01",2,0.048,0.824,31,0.207600531418302,10,30,"Ammonia"
5,"01",3,0.021,0.949,66,0.251391466105692,30,100,"Ammonia"
5,"01",4,0.02,1.08,38,0.250990352769781,100,5000,"Ammonia"
5,"02",1,0.02,1.522,57,0.308942394116129,0,10,"Ammonia"
5,"02",2,0,1.543,53,0.280519850977525,10,30,"Ammonia"
5,"02",3,0,1.01,106,0.244180554910145,30,100,"Ammonia"
5,"02",4,0,0.945,53,0.29686152230502,100,5000,"Ammonia"
5,"03",1,0.029,2.399,169,0.359467195966544,0,10,"Ammonia"
5,"03",2,0.03,3.683,168,0.417785720074883,10,30,"Ammonia"
5,"03",3,0,1.851,258,0.367094850254455,30,100,"Ammonia"
5,"03",4,0,1.856,180,0.310633122274898,100,5000,"Ammonia"
5,"04",1,0,2.025,163,0.46318554866883,0,10,"Ammonia"
5,"04",2,0,2.594,234,0.528234186361355,10,30,"Ammonia"
5,"04",3,0,3.181,583,0.661664697391474,30,100,"Ammonia"
5,"04",4,0,2.095,226,0.445743647131082,100,5000,"Ammonia"
5,"05",1,0,4.01,91,1.17145968281522,0,10,"Ammonia"
5,"05",2,0,5.51,100,1.14388341674801,10,30,"Ammonia"
5,"05",3,0,6.725,235,1.36643662479189,30,100,"Ammonia"
5,"05",4,0,5.43,108,1.19132137714265,100,5000,"Ammonia"
5,"06",1,0,1.573,146,0.369559651661327,0,10,"Ammonia"
5,"06",2,0,5.13,139,0.672707180025117,10,30,"Ammonia"
5,"06",3,0.022,3.639,226,0.791957190548675,30,100,"Ammonia"
5,"06",4,0,2.07,140,0.442232615634504,100,5000,"Ammonia"
5,"07",1,0,9.83,335,0.870999677478706,0,10,"Ammonia"
5,"07",2,0,1.384,319,0.302788674957675,10,30,"Ammonia"
5,"07",3,0,5.972,384,0.705458732207469,30,100,"Ammonia"
5,"07",4,0,1.509,324,0.308827920116509,100,5000,"Ammonia"
5,"08",1,0,0.98,135,0.224035973479563,0,10,"Ammonia"
5,"08",2,0,1.04,121,0.247451750590945,10,30,"Ammonia"
5,"08",3,0,1.676,188,0.344161088761696,30,100,"Ammonia"
5,"08",4,0,11.77,129,1.47800888947734,100,5000,"Ammonia"
5,"09",1,0,2.599,67,0.588949922196121,0,10,"Ammonia"
5,"09",2,0,3.028,137,0.691025779668599,10,30,"Ammonia"
5,"09",3,0,3.923,275,0.578040753798919,30,100,"Ammonia"
5,"09",4,0,2.677,105,0.648056284157401,100,5000,"Ammonia"
5,"10",1,0,0.9155,120,0.198762771729945,0,10,"Ammonia"
5,"10",2,0,1.255,172,0.26427431153388,10,30,"Ammonia"
5,"10",3,0,2.82,405,0.349911251399388,30,100,"Ammonia"
