box,latitude,longitude
1,40.1,-65.71
1,38.89,-67.71
1,37.87,-69.81
1,38.965,-70.155
1,40.06,-70.5
1,40.05,-69.56
1,40.04,-69.25
1,40.23,-68.6
1,40.69,-66.98
1,41.03,-66.57
1,41.5,-66
1,41.9,-65.72
1,42.13,-65.55
1,42.42,-64.95
1,42.73,-64.23
1,42.79,-63.85
1,42.91,-62.77
1,42.96,-62.2
1,43.01,-61.82
1,42.25,-61.4
1,41.5,-61
1,40.92,-63.73
1,40.1,-65.71
2,41.5,-66
2,41.03,-66.57
2,40.69,-66.98
2,40.23,-68.6
2,40.04,-69.25
2,40.05,-69.56
2,40.06,-70.5
2,41.54,-70.5
2,41.55153,-70.5013
2,41.56886,-70.46572
2,41.61033,-70.42731
2,41.61347,-70.37736
2,41.63514,-70.34483
2,41.62497,-70.319
2,41.63431,-70.28169
2,41.61132,-70.27307
2,41.63994,-70.21592
2,41.65,-70.15
2,41.66678,-70.05144
2,41.66081,-69.99278
2,41.60578,-69.99558
2,41.54492,-70.01772
2,41.55031,-69.99464
2,41.59469,-69.98528
2,41.64858,-69.95194
2,41.69275,-69.92997
2,41.718,-69.8
2,41.62,-69.4
2,41.16,-69.01
2,41.75,-68.38
2,42.18,-67.7
2,42.18,-67
2,42.18,-66.32
2,41.9,-65.72
2,41.5,-66
3,45.07904,-67.08368
3,45.05436,-67.04337
3,45.11123,-67.03653
3,45.15511,-67.03118
3,45.14234,-66.99793
3,45.14303,-66.95301
3,45.13054,-66.89662
3,45.09116,-66.92156
3,45.05447,-66.90958
3,45.04131,-66.88499
3,45.02732,-66.86532
3,45.01779,-66.84235
3,45.04014,-66.80776
3,45.04316,-66.77476
3,44.79945,-66.77882
3,44.78641,-66.81054
3,44.75203,-66.83777
3,44.67932,-66.87621
3,44.64221,-66.88924
3,44.61316,-66.90825
3,44.59194,-66.89822
3,44,-67
3,42.79,-67
3,42.56,-66.1
3,42.13,-65.55
3,41.9,-65.72
3,42.18,-66.32
3,42.18,-67
3,42.18,-67.7
3,41.75,-68.38
3,41.16,-69.01
3,41.62,-69.4
3,41.718,-69.8
3,41.69275,-69.92997
3,41.75975,-69.93281
3,41.91497,-69.9745
3,42.05258,-70.07517
3,42.0835,-70.20083
3,42.05917,-70.23928
3,42.02722,-70.16769
3,42.06075,-70.16017
3,42.00075,-70.08608
3,41.86792,-70.07281
3,41.91833,-70.06253
3,41.90253,-70.02103
3,41.82892,-70.01011
3,41.76253,-70.12358
3,41.72894,-70.28272
3,41.74661,-70.41628
3,41.80814,-70.53672
3,41.86586,-70.53178
3,41.93272,-70.55611
3,41.96872,-70.67153
3,42.00414,-70.67425
3,42.00336,-70.5965
3,42.0795,-70.63782
3,42.18674,-70.71581
3,42.2516,-70.76298
3,42.26989,-70.84458
3,42.36503,-70.97731
3,42.431,-70.97144
3,42.42017,-70.90186
3,42.43794,-70.92933
3,42.48081,-70.83417
3,42.53083,-70.78414
3,42.56511,-70.72144
3,42.58119,-70.65203
3,42.63425,-70.57433
3,42.69267,-70.63333
3,42.64009,-70.68703
3,42.70747,-70.76942
3,42.75675,-70.81022
3,42.92758,-70.79686
3,43.07681,-70.70322
3,43.08647,-70.66011
3,43.22711,-70.58042
3,43.3267,-70.54836
3,43.35764,-70.42403
3,43.44081,-70.33761
3,43.47911,-70.36097
3,43.50842,-70.31922
3,43.54786,-70.22686
3,43.63581,-70.18756
3,43.67503,-70.15564
3,43.66744,-70.10586
3,43.71014,-70.05339
3,43.73161,-69.97061
3,43.77569,-69.88164
