"depth_bin","month","box","variable","mval","min","max","std","no","min_depth","max_depth"
1,1,1,"cphl",0.394444444444444,0.26,0.86,0.179938261016877,9,0,10
1,1,1,"ntrz",7.57888888888887,1.2,13.52,4.72894701485234,18,0,10
1,1,1,"phos",0.7244,0.1,1.35,0.404846472958166,25,0,10
1,1,1,"slca",7.55055555555554,0,12.2799999999999,4.61406860427619,18,0,10
2,1,1,"cphl",0.22,0.21,0.23,0.014142135623731,2,10,30
2,1,1,"ntrz",3.52214285714285,0.8,11.26,3.32443211708388,14,10,30
2,1,1,"phos",0.4616,0.11,0.97,0.25663982543635,25,10,30
2,1,1,"slca",3.54357142857143,0,9.97,3.63432695523978,14,10,30
3,1,1,"cphl",0.11,0.02,0.25,0.122882057274445,3,30,100
3,1,1,"ntrz",3.88181818181818,0.4,18.89,4.78859223409298,22,30,100
3,1,1,"phos",0.488648648648649,0.07,1.49,0.30589724275175,37,30,100
3,1,1,"slca",3.82318181818182,0,17.89,5.28057661566797,22,30,100
4,1,1,"cphl",NA,NA,NA,NA,0,100,5000
4,1,1,"ntrz",7.15909090909091,0.6,24.17,6.91961938747591,22,100,5000
4,1,1,"phos",1.0237037037037,0.09,1.81,0.535686110203792,54,100,5000
4,1,1,"slca",7.04906249999999,0,14.42,4.52813435414262,16,100,5000
1,2,1,"cphl",0.546528275862069,0.03371,1.47771,0.336669927133694,29,0,10
1,2,1,"ntrz",5.48820535714285,0.4,18.4364999999999,3.64074534798574,56,0,10
1,2,1,"phos",0.61114,0.14,1.1025,0.240464008083691,50,0,10
1,2,1,"slca",5.58286538461538,0,11.67,2.98673263196703,52,0,10
2,2,1,"cphl",0.836142857142857,0.67,1.095,0.130438272210049,7,10,30
2,2,1,"ntrz",3.02980769230769,0.3,9.53999999999999,2.69455696120801,52,10,30
2,2,1,"phos",0.555557692307692,0.15,0.97,0.209981083504834,52,10,30
2,2,1,"slca",4.51795454545454,0,14,3.64502884127132,44,10,30
3,2,1,"cphl",0.557333333333333,0.349,0.67,0.180622073217349,3,30,100
3,2,1,"ntrz",3.48313953488372,0.1,18.85,3.7560468147267,86,30,100
3,2,1,"phos",0.538255813953488,0.08,1.15,0.193780906365108,86,30,100
3,2,1,"slca",4.13150684931507,0,20.23,3.91499988336628,73,30,100
4,2,1,"cphl",0.180520714285714,0,0.63,0.173135328548966,14,100,5000
4,2,1,"ntrz",7.63956024096385,0.8,29.46,6.67229035776156,83,100,5000
4,2,1,"phos",0.870074074074074,0.08,1.98,0.402237966811245,81,100,5000
4,2,1,"slca",8.18762,0,24,4.72320542342717,75,100,5000
1,3,1,"cphl",1.10056305084746,0.24,3.25,0.733584987811403,59,0,10
1,3,1,"ntrz",4.5725546875,0.01,13.6,2.78609794993721,64,0,10
1,3,1,"phos",0.660713114754098,0,1.12,0.205315295318696,61,0,10
1,3,1,"slca",4.89861111111111,0.491,10,2.14933379448168,45,0,10
2,3,1,"cphl",1.13825373134328,0.109,5.809,0.98506294743155,67,10,30
2,3,1,"ntrz",3.78861666666667,0.01,13.6,2.76787071048194,90,10,30
2,3,1,"phos",0.661397849462365,0.091,1.14,0.173075827801683,93,10,30
2,3,1,"slca",5.46344230769231,0.534,17,3.11416255959555,52,10,30
3,3,1,"cphl",0.720764383561644,0.06,3.302,0.632180988802052,73,30,100
3,3,1,"ntrz",4.34709493670886,0.01,13.7899999999999,3.12820881734937,158,30,100
3,3,1,"phos",0.680740740740741,0.283,1.23,0.180616802268116,162,30,100
3,3,1,"slca",5.7486511627907,0.888,20,3.50376031199907,86,30,100
4,3,1,"cphl",0.0658106666666667,0.008,0.205,0.0606000329404279,15,100,5000
4,3,1,"ntrz",10.8683908450704,0.01,25.03,7.43757345922746,142,100,5000
4,3,1,"phos",1.1032935483871,0.4,1.884,0.308914415642703,155,100,5000
4,3,1,"slca",10.8729719101123,3,32,4.33225138454142,89,100,5000
1,4,1,"cphl",2.82031946902655,0.21,12.3729999999999,2.98210948173372,113,0,10
1,4,1,"ntrz",1.50529605263158,0,8.60999999999999,1.88998405977656,152,0,10
1,4,1,"phos",0.571299242424242,0,1.63,0.307905041745416,132,0,10
1,4,1,"slca",1.65051153846154,0,8.17,1.32924029778128,130,0,10
2,4,1,"cphl",3.10737386363636,0.22,13.4689999999999,2.6707347446186,176,10,30
2,4,1,"ntrz",2.33611881188119,0,9.60999999999999,2.21614140447298,202,10,30
2,4,1,"phos",0.550044117647059,0,1.6,0.278290316948146,204,10,30
2,4,1,"slca",1.93689540816327,0,8.66,1.47365473656287,196,10,30
3,4,1,"cphl",1.53041942257218,0.01,11.989,2.06077700787851,381,30,100
3,4,1,"ntrz",5.8906989010989,0.016,17.6,3.56464076686627,455,30,100
3,4,1,"phos",0.717254395604396,0.007,2.42,0.323363652901932,455,30,100
